col_name,desc,data_type,"scale (N, O, I, R)",domain,missing_values
AAGE,age,int,R,"{0, 1, 2, ‚3,..,90}",0
ACLSWKR,class of worker,string ,N,"{Federal government, Local government, Never worked, Not in universe, Private, Self-employed-incorporated, Self-employed-not incorporated, State government, Without pay}",0
ADTIND,industry code,int,N,"{0, 1, 2, 3,…, 51}",0
ADTOCC,ocupation code,int,N,"{0, 1, 2, 3,…, 46}",0
AHGA,education,object ,O,"{10th grade, 11th grade, 12th grade no diploma, 1st 2nd 3rd or 4th grade, 5th or 6th grade, 7th and 8th grade, 9th grade, Associates degree-academic program, Associates degree-occup /vocational, Bachelors degree(BA AB BS), Children, Doctorate degree(PhD EdD), High school graduate, Less than 1st grade, Masters degree(MA MS MEng MEd MSW MBA), Prof school degree (MD DDS DVM LLB JD), Some college but no degree}",0
AHRSPAY,wage per hour,int ,R,"{0,20,70, 75,100,110,125,…,9999}",0
AHSCOL,enrolled in edu last week,string ,N,"{College or university, High school, Not in universe}",0
AMARITL,marital status,string ,N,"{Divorced, Married-A F spouse present, Married-civilian spouse present, Married-spouse absent, Never married, Separated, Widowed}",0
AMJIND,major industry code,string ,N,"{Agriculture, Armed Forces, Business and repair services, Communications, Construction, Education, Entertainment, Finance insurance and real estate, Forestry and fisheries, Hospital services, Manufacturing-durable goods, Manufacturing-nondurable goods, Medical except hospital, Mining, Not in universe or children, Other professional services, Personal services except private HH, Private household services, Public administration, Retail trade, Social services, Transportation, Utilities and sanitary services, Wholesale trade}",0
AMJOCC,major occupation code,string ,N,"{Adm support including clerical, Armed Forces, Executive admin and managerial, Farming forestry and fishing, Handlers equip cleaners etc, Machine operators assmblrs & inspctrs, Not in universe, Other service, Precision production craft & repair, Private household services, Professional specialty, Protective services, Sales, Technicians and related support, Transportation and material moving}",0
ARACE,race,string ,N,"{Amer Indian Aleut or Eskimo, Asian or Pacific Islander, Black, Other, White}",0
AREORGN,hispanic origin,string ,N,"{All other, Mexican (Mexicano), Mexican-American, Central or South American, Puerto Rican, Other Spanish, Cuban, Chicano, nan, Do not know}",874
ASEX,sex,string ,N,"{Female, Male}",0
AUNMEM,member of a labor union,string ,N,"{No, Not in universe, Yes}",0
AUNTYPE,reason of unemplyment,string ,N,"{Job leaver, Job loser - on layoff, New entrant, Not in universe, Other job loser, Re-entrant}",0
